,Total No. of MVP Awards
Bill Russell,5
Kareem Abdul-Jabbar,5
Michael Jordan,5
Wilt Chamberlain,4
LeBron James,4
Larry Bird,3
Moses Malone,3
Magic Johnson,3
Bob Pettit,2
Giannis Antetokounmpo,2
Stephen Curry,2
Steve Nash,2
Tim Duncan,2
Karl Malone,2
Nikola JokiÄ‡,2
Julius Erving,1
Dirk Nowitzki,1
Oscar Robertson,1
James Harden,1
Russell Westbrook,1
Wes Unseld,1
Kevin Durant,1
Derrick Rose,1
Willis Reed,1
Kobe Bryant,1
Lew Alcindor,1
Bill Walton,1
Kevin Garnett,1
Dave Cowens,1
Allen Iverson,1
Shaquille O'Neal,1
Bob McAdoo,1
David Robinson,1
Bob Cousy,1
Charles Barkley,1
Hakeem Olajuwon,1
